# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
  181 2026-04-17T12:16:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  182 2026-04-17T12:17:00+05:30       9.58       9.59       9.57       9.59   -0.519          TP≥9.6882 SL≤8.676
  183 2026-04-17T12:18:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  184 2026-04-17T12:19:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  185 2026-04-17T12:20:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  186 2026-04-17T12:21:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  187 2026-04-17T12:22:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  188 2026-04-17T12:23:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  189 2026-04-17T12:24:00+05:30       9.59       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  190 2026-04-17T12:25:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  191 2026-04-17T12:26:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  192 2026-04-17T12:27:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  193 2026-04-17T12:28:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  194 2026-04-17T12:29:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  195 2026-04-17T12:30:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  196 2026-04-17T12:31:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  197 2026-04-17T12:32:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  198 2026-04-17T12:33:00+05:30       9.59       9.59       9.57       9.59   -0.519          TP≥9.6882 SL≤8.676
  199 2026-04-17T12:34:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  200 2026-04-17T12:35:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  201 2026-04-17T12:36:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  202 2026-04-17T12:37:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  203 2026-04-17T12:38:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  204 2026-04-17T12:39:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  205 2026-04-17T12:40:00+05:30       9.59       9.59       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  206 2026-04-17T12:41:00+05:30       9.57       9.57       9.55       9.57   -0.726          TP≥9.6882 SL≤8.676
  207 2026-04-17T12:42:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  208 2026-04-17T12:43:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  209 2026-04-17T12:44:00+05:30       9.56       9.57       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  210 2026-04-17T12:45:00+05:30       9.55       9.56       9.55       9.55   -0.934          TP≥9.6882 SL≤8.676
  211 2026-04-17T12:46:00+05:30       9.56       9.57       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  212 2026-04-17T12:47:00+05:30       9.55       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  213 2026-04-17T12:48:00+05:30       9.55       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  214 2026-04-17T12:49:00+05:30       9.55       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  215 2026-04-17T12:50:00+05:30       9.56       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  216 2026-04-17T12:51:00+05:30       9.56       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  217 2026-04-17T12:52:00+05:30       9.55       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  218 2026-04-17T12:53:00+05:30       9.56       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  219 2026-04-17T12:54:00+05:30       9.55       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  220 2026-04-17T12:55:00+05:30       9.56       9.56       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  221 2026-04-17T12:56:00+05:30       9.56       9.57       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  222 2026-04-17T12:57:00+05:30       9.56       9.57       9.55       9.56   -0.830          TP≥9.6882 SL≤8.676
  223 2026-04-17T12:58:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
